sample_id,sample_id_old,qpcr_sample_id,collect_site,frog_id,site,species,sample_status,extract_plate_id,extract_date,extract_lab,extract_tech,extract_loc,extract_well_pos,extract_neg_cont,extract_bd_pos_cont,qpcr_plate_id,qpcr_date,qpcr_file_name,qpcr_lab,qpcr_tech,qpcr_well_pos,qpcr_diluted,qpcr_neg_cont,sample_quality,sample_ipc,sample_rerun,sample_bd,sample_bd_ct,sample_bd_qty,sample_bd_swab_qty,sample_bsal,sample_bsal_ct,sample_bsal_qty,sample_bsal_swab_qty,notes,temp_pcr_id
171006-26-NM-NM,171006-2126-NM,171006 212.6,NV,171006-2126,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,B7,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,B7,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4389
171006-30-NM-NM,171006-2030-NM,171006 203.0,NV,171006-2030,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,D11,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,D11,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4395
171006-30-NM-NM,171006-2130-NM,171006 213.0,NV,171006-2130,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,B8,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,B8,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4395
171006-31-NM-NM,171006-2031-NM,171006 203.1,NV,171006-2031,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,D12,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,D12,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4397
171006-31-NM-NM,171006-2131-NM,171006 213.1,NV,171006-2131,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,B9,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,B9,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4397
171006-32-NM-NM,171006-2032-NM,171006 203.2,NV,171006-2032,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,E1,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,E1,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4399
171006-32-NM-NM,171006-2132-NM,171006 213.2,NV,171006-2132,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,B10,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,B10,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4399
171006-34-NM-NM,171006-2034-NM,171006 203.4,NV,171006-2034,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,E2,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,E2,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4403
171006-34-NM-NM,171006-2134-NM,171006 213.4,NV,171006-2134,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,B12,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,B12,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4403
171006-35-NM-NM,171006-2035-NM,171006 203.5,NV,171006-2035,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,E3,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,E3,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4405
171006-35-NM-NM,171006-2135-NM,171006 213.5,NV,171006-2135,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,C1,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,C1,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4405
171006-40-NM-NM,171006-2040-NM,171006 204.0,NV,171006-2040,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,E6,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,E6,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4413
171006-40-NM-NM,171006-2140-NM,171006 214.0,NV,171006-2140,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,C2,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,C2,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4413
171006-41-NM-NM,171006-2041-NM,171006 204.1,NV,171006-2041,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,E7,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,E7,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4414
171006-41-NM-NM,171006-2141-NM,171006 214.1,NV,171006-2141,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,C3,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,C3,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4414
171006-42-NM-NM,171006-2042-NM,171006 204.2,NV,171006-2042,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,E8,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,E8,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4416
